City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temperature (F),Wind Speed
Témiscaming,CA,1586914752,46.72,-79.1,75,92,30.0,9.17
Mahébourg,MU,1586914694,-20.41,57.7,75,74,78.8,16.11
Tuktoyaktuk,CA,1586914656,69.45,-133.04,75,86,26.6,8.05
Dingcheng,CN,1586914753,32.13,115.04,0,51,72.93,11.12
Virú,PE,1586914753,-8.42,-78.75,24,70,74.53,5.01
San Cristobal,VE,1586914681,7.77,-72.22,26,58,67.57,1.43
Longyearbyen,SJ,1586914489,78.22,15.64,75,93,32.0,21.92
Warrnambool,AU,1586914754,-38.38,142.48,100,50,72.0,15.41
Cape Town,ZA,1586914460,-33.93,18.42,100,87,60.01,8.05
Nemuro,JP,1586914754,43.32,145.57,75,64,35.6,12.75
Vaini,TO,1586914687,-21.2,-175.2,40,69,82.4,8.05
Ushuaia,AR,1586914686,-54.8,-68.3,40,66,48.2,4.7
Kapaa,US,1586914655,22.08,-159.32,75,83,80.6,16.11
Grand Gaube,MU,1586914755,-20.01,57.66,75,74,78.8,16.11
Puerto Ayora,EC,1586914755,-0.74,-90.35,40,74,82.4,3.36
Rikitea,PF,1586914688,-23.12,-134.97,32,66,76.28,7.07
Katsuura,JP,1586914662,35.13,140.3,40,58,64.0,5.82
Barabai,ID,1586914755,-2.58,115.38,36,53,92.25,2.73
Guerrero Negro,MX,1586914756,27.98,-114.06,82,77,62.51,17.69
Svetlaya,RU,1586914756,46.54,138.33,32,71,39.96,4.52
Bredasdorp,ZA,1586914445,-34.53,20.04,56,93,51.01,2.08
Varnavino,RU,1586914756,57.4,45.09,93,80,43.7,8.75
Atuona,PF,1586914656,-9.8,-139.03,31,66,82.6,3.74
Kangaatsiaq,GL,1586914757,68.31,-53.46,99,94,25.57,6.46
Busselton,AU,1586914689,-33.65,115.33,17,45,69.01,16.2
Dhidhdhoo,MV,1586914757,6.88,73.1,81,64,85.24,4.65
Hithadhoo,MV,1586914686,-0.6,73.08,50,65,84.79,2.35
Khovd,MN,1586914757,48.01,91.64,96,46,44.4,2.28
Nome,US,1586914678,64.5,-165.41,90,100,34.0,12.75
Saint Paul Harbor,US,1586914380,57.79,-152.41,90,87,42.8,6.93
Hermanus,ZA,1586914513,-34.42,19.23,86,93,57.99,4.32
Zdvinsk,RU,1586914758,54.7,78.66,100,90,37.65,9.66
Bluff,NZ,1586914692,-46.6,168.33,100,95,46.99,4.0
Mataura,NZ,1586914687,-46.19,168.86,100,95,46.99,4.0
Skjervøy,NO,1586914758,70.03,20.97,100,95,31.46,9.01
Lishu,CN,1586914759,43.3,124.33,100,26,64.17,6.85
Butaritari,KI,1586914654,3.07,172.79,76,79,83.73,15.73
Lebu,CL,1586914446,-37.62,-73.65,100,70,55.45,1.99
Dikson,RU,1586914653,73.51,80.55,40,92,7.92,8.86
Moranbah,AU,1586914642,-22.0,148.05,46,43,82.63,17.52
Cururupu,BR,1586914759,-1.83,-44.87,100,95,73.44,5.53
Geraldton,AU,1586914686,-28.77,114.6,75,56,71.6,19.46
Lima,PE,1586914481,-12.04,-77.03,75,83,71.6,8.05
Nanortalik,GL,1586914673,60.14,-45.24,99,91,29.32,6.24
Arraial do Cabo,BR,1586914486,-22.97,-42.03,20,88,75.2,14.99
Demmin,DE,1586914760,53.91,13.03,75,70,43.0,14.99
Dabat,ET,1586914761,12.98,37.77,85,24,56.71,0.76
Hualmay,PE,1586914714,-11.1,-77.61,2,76,71.82,5.99
Hong Gai,VN,1586914761,20.96,107.09,97,82,68.0,2.24
Buenos Aires,AR,1586914635,-34.61,-58.38,0,51,60.8,8.05
Nuuk,GL,1586914659,64.18,-51.72,95,68,26.6,16.11
Tiksi,RU,1586914652,71.69,128.87,100,93,6.48,14.03
Marzuq,YE,1586914762,14.4,46.47,80,55,70.5,3.6
Albany,US,1586914447,42.6,-73.97,90,28,45.0,5.19
Andenes,NO,1586914762,69.31,16.12,79,75,37.4,23.04
Karratha,AU,1586914698,-20.74,116.85,21,44,89.91,3.22
Shelby,US,1586914625,35.2,-89.87,1,56,46.4,4.7
Port Alfred,ZA,1586914762,-33.59,26.89,53,97,62.01,1.01
Hasaki,JP,1586914763,35.73,140.83,20,53,63.0,4.7
Catuday,PH,1586914763,16.29,119.81,7,65,81.88,0.38
Ponta do Sol,PT,1586914763,32.67,-17.1,20,62,57.99,4.7
Faanui,PF,1586914694,-16.48,-151.75,28,65,83.3,5.77
Saskylakh,RU,1586914673,71.92,114.08,99,91,0.16,11.99
Hobart,AU,1586914423,-42.88,147.33,75,87,61.0,3.36
Nikolskoye,RU,1586914658,59.7,30.79,75,86,34.0,4.47
Mayo,US,1586914680,38.89,-76.51,90,54,55.4,6.33
Yulara,AU,1586914690,-25.24,130.99,0,14,80.6,3.36
Provideniya,RU,1586914663,64.38,-173.3,75,96,32.0,11.18
Port Hardy,CA,1586914658,50.7,-127.42,75,67,57.2,11.41
